s.n.,name_of_province,district_name_english,district_name_nepali,palika_name_english,palika_name_nepali,palika_type,total_wards,municipal_center_english,municipal_center_nepali,municipal_center_sec_source,total_palikas,website,email,area_sq_km,total_population,total_male,total_female,total_households,long,lat,remarks
15,1,DHANKUTA,धनकुटा,Pakhribas Municipality,पाख्रिबास नगरपालिका,Nagarpalika,10,Pakhribas,पखृबस्,Pakhribas,6,http://www.pakhribasmun.gov.np/,,144,22078,10054,12024,4977,87.2742,27.05801,
16,1,DHANKUTA,धनकुटा,Sangurigadhi Gaunpalika,साँगुरीगढी गाउँपालिका,Gaunpalika,10,Bhedetar,भेदेतर,Bhedetar,7,http://www.sangurigadhimun.gov.np/,sangurigadhi.ruralmundkt@gmail.com,166,21536,10089,11447,5047,87.32129,26.8599,
17,1,ILAM,इलाम,Chulachuli Gaunpalika,चुलाचुली गाउँपालिका,Gaunpalika,6,Chulachuli,चुलाचुलि,Chullachulli,1,http://www.chulachulimun.gov.np/,chulachuli.rulalmunicipality@gmail.com,108,18868,8723,10145,4649,87.75634,26.68661,
18,1,ILAM,इलाम,Deumai Municipality,देउमाई नगरपालिका,Nagarpalika,9,Deumai,डेउमाइ,Mangalbare,2,http://www.deumaimun.gov.np/,,192,32386,15596,16790,7123,87.8345761,26.9396764,
19,1,ILAM,इलाम,Fakfokathum Gaunpalika,फाकफोकथुम गाउँपालिका,Gaunpalika,7,Amchok,आम्चोक,Aamchowk,3,http://www.phakphokthummun.gov.np/,phakphokthum.ruralmunicipality@gmail.com,109,22160,10357,11803,4634,87.73593,26.9645,
20,1,ILAM,इलाम,Illam Municipality,ईलाम नगरपालिका,Nagarpalika,12,Illam,इलाम्,Illam,4,http://www.inaruwamun.gov.np/,,173,48536,23461,25075,11383,87.9269554,26.9071523,
21,1,ILAM,इलाम,Mai Jogmai Gaunpalika,माई जोगमाई गाउँपालिका,Gaunpalika,6,Naya Bazar,नयाँ बजार,Naya Bazar,6,http://www.mahalaxmimundhankuta.gov.np/,,136,21044,10377,10667,4677,88.0191,26.956427,
22,1,ILAM,इलाम,Mai Municipality,माई नगरपालिका,Nagarpalika,10,Danabari,डानाबारी,Mahamai,5,http://www.maimun.gov.np/,,264,32576,15551,17025,7077,87.88184,26.76074,
23,1,ILAM,इलाम,Mangsebung Gaunpalika,माङसेबुङ गाउापालिका,Gaunpalika,6,Ebhang,एभङ्,Ibhang,7,http://www.maijogmaimun.gov.np/,maijogmaigaupalika@gmail.com,172,19093,9349,9744,3729,87.75259,26.877277,
24,1,ILAM,इलाम,Rong Gaunpalika,रोङ गाउँपालिका,Gaunpalika,6,Kolbung,कोल्बुङ्,Kolbung,8,http://www.rongmun.gov.np/,rongruralmun@gmail.com,155,19135,9389,9746,4351,88.06327,26.82052,
25,1,ILAM,इलाम,Sandakpur Gaunpalika,सन्दकपुर गाउँपालिका,Gaunpalika,5,Mai pokhari,माइ पोखरि,Maipokhari,9,http://www.sandakpurmun.gov.np/,sandakpurrm@gmail.com,156,16065,7790,8275,3643,87.89974,27.045777,
26,1,ILAM,इलाम,Suryodaya Municipality,सूर्योदय नगरपालिका,Nagarpalika,14,Suryodaya,सुर्योडेअ,Phikal,10,http://www.suryodayamun.gov.np/,,226,56707,27867,28840,13211,88.06562,26.8958,
27,1,JHAPA,झापा,Arjundhara Municipality,अर्जुनधारा नगरपालिका,Nagarpalika,11,Shaniarjun,सनिअर्जुन,Sanischare,1,http://www.arjundharamun.gov.np/,,110,60205,28425,31780,13623,87.996765,26.6834038,
28,1,JHAPA,झापा,Barhadashi Gaunpalika,बाह्रदशी गाउँपालिका,Gaunpalika,7,Chakchaki,चक्चकि,Chakchaki,2,http://www.bahradashimun.gov.np/,,80.32,33653,15710,17943,7398,87.920956,26.549619,
29,1,JHAPA,झापा,Bhadrapur Municipality,भद्रमपुर नगरपालिका,Nagarpalika,10,Bhadrapur,भद्रपुर्,Bhadrapur,3,http://www.bhadrapurmun.gov.np/,,96.35,65533,30958,34575,15270,88.09537,26.54473,
30,1,JHAPA,झापा,Birtamod Municipality,बिर्तामोड नगरपालिका,Nagarpalika,10,Birtamod,बिर्तामोड,Birtamod,4,http://www.birtamodmun.gov.np/,,78.24,81878,39748,42130,19118,87.9887249,26.6254248,
31,1,JHAPA,झापा,Buddhashanti Gaunpalika,बुद्धशान्ति गाउँपालिका,Gaunpalika,7,Budhabare,बुधवारे,Budhabare,5,http://www.buddhashantimun.gov.np/,,79.78,41585,19642,21943,9498,88.04881,26.71984,
32,1,JHAPA,झापा,Damak Municipality,दमक नगरपालिका,Nagarpalika,10,Damak,डमक्,Damak,6,http://www.damakmun.gov.np/,,70.86,75102,35438,39664,18104,87.70319,26.66924,
33,1,JHAPA,झापा,Gauradaha Municipality,गौरादह नगरपालिका,Nagarpalika,9,Gauradaha,गौरादह,Gauradaha,7,http://www.gauradahamun.gov.np/,,150,53033,24936,28097,12070,87.72,26.56,
34,1,JHAPA,झापा,Gauriganj Gaunpalika,गौरिगञ्ज गाउँपालिका,Gaunpalika,6,Gauriganj,गौरिगन्ज्,Gaurigunj,8,http://www.gaurigunjmun.gov.np/,,101,33034,15938,17096,7140,87.71317,26.46481,
35,1,JHAPA,झापा,Haldibari Gaunpalika,हल्दीबारी गाउँपालिका,Gaunpalika,5,Dhanusha Pokhari,ढनुशा पोखरि,Jalthal,9,http://www.haldibarimun.gov.np/,haldibariruralmunicipality123@gmail.com,117,28933,13320,15613,6415,87.9976079,26.5378341,
36,1,JHAPA,झापा,Jhapa Gaunpalika,झापा गाउँपालिका,Gaunpalika,7,Tagandubha,टगनदुभ,Taganduba,10,http://www.jhapamun.gov.np/,,94.12,34601,16703,17898,7098,87.876922,26.504647,
37,1,JHAPA,झापा,Kachanakawal Gaunpalika,कचनकवल गाउँपालिका,Gaunpalika,7,Baniyani,बनियानि,Baniyani,11,http://www.kachankawalmun.gov.np/,http://kachankawala@gmail.com,110,39538,18707,20831,8742,88.03307,26.43168,
38,1,JHAPA,झापा,Kamal Gaunpalika,कमल गाउँपालिका,Gaunpalika,7,Topgachchi,टोपगच्चि,Topgachchi,12,http://www.kamalmun.gov.np/,kamalgaupalikajhapa@gmail.com,105,44365,20296,24069,10256,87.76294,26.60502,
39,1,JHAPA,झापा,Kankai Municipality,कन्काई नगरपालिका,Nagarpalika,9,kankai,कन्कै,Kalimuda,13,http://www.kankaimun.gov.np/,,79.09,40141,18536,21605,9426,87.89037,26.627101,
40,1,JHAPA,झापा,Mechinagar Municipality,मेचीनगर नगरपालिका,Nagarpalika,15,Mechinagar,मेचीनगर्,Mechinagar,14,http://mechinagarmun.gov.np/,,193,111737,52996,58741,25531,88.1213936,26.6546009,
41,1,JHAPA,झापा,Shivasatakshi Municipality,शिवसताक्षी नगरपालिका,Nagarpalika,11,"Shivasatakshi, Bhangdanda",सिवसतक्षि,Shivasatakshi,15,http://www.shivasatakshimun.gov.np/,,145,64596,29715,34881,14695,87.83333,26.6,
42,1,KHOTANG,खोटाङ,Aiselukharka Gaunpalika,ऐसेलुखर्क गाउँपालिका,Gaunpalika,7,Aiselukharka,ऐसेलुखर्क,Ainselu Kharka,1,http://www.aiselukharkamun.gov.np/,aiselukharka2073@gmail.com,125,16097,7456,8641,3491,86.74964,27.360057,
43,1,KHOTANG,खोटाङ,Baraha Pokhari Gaunpalika,बराहपोखरी गाउँपालिका,Gaunpalika,6,Bhagkhor Bhanjyang,भागखोर भञ्ज्याङ्,Saunechaur,2,http://www.barahapokharimun.gov.np/,,142,14349,6831,7518,2702,86.81565,26.942922,
44,1,KHOTANG,खोटाङ,Diktal Rupakot Majhuwagadhi Municipality,दिक्तेल रुपाकोट मझुवागढी नगरपालिका,Nagarpalika,15,Diktel,डिक्तेल,Diktel,9,http://www.rupakotmajhuwagadhimun.gov.np/,,247,46903,21599,25304,10050,86.79246,27.21534,
45,1,KHOTANG,खोटाङ,Diprung Chuichumma Gaunpalika,दिप्रुङ चुइचुम्मा गाउँपालिका,Gaunpalika,7,Yangsolatar,यङ्सोलतर्,Yongsolatar,3,http://www.diprungmun.gov.np/,ito.diprungmun@gmail.com,136,19392,8938,10454,4140,86.79422,27.09737,
46,1,KHOTANG,खोटाङ,Halesi Tuwachung Municipality,हलेसी तुवाचुङ नगरपालिका,Nagarpalika,11,Durchhim,डुर्छिम्,Badahare,4,http://www.halesituwachungmun.gov.np/,,280,29532,13993,15539,5838,86.54787,27.189705,
47,1,KHOTANG,खोटाङ,Jante Dhunga Gaunpalika,जन्तेढुङ्गा गाउँपालिका,Gaunpalika,6,Chisapani,चिसापानी,Chisapani,5,http://www.jantedhungamun.gov.np/,jantedhungarmo@gmail.com,129,15444,7420,8024,3175,86.88525,26.981947,
48,1,KHOTANG,खोटाङ,Kepilasgadhi Gaunpalika,केपिलासगढी गाउँपालिका,Gaunpalika,7,Baksila,बकसिला,Baksila,6,http://www.kepilasgadhimun.gov.np/,,192,15177,7284,7893,3347,86.82082,27.324927,
49,1,KHOTANG,खोटाङ,Khotehang Gaunpalika,खोटेहाङ गाउँपालिका,Gaunpalika,9,Khotang Bazar,खोटाङ बजार,Khotang Bazar,7,http://www.khotehangmun.gov.np/,ito.khotehangmun@gmail.com,164,22474,10449,12025,4703,86.84428,27.031948,
50,1,KHOTANG,खोटाङ,RawaBeshi Gaunpalika,रावा बेसी गाउँपालिका,Gaunpalika,6,Kuvinde Harmatara,कुविन्दे हर्मतरआ,Kharpa,8,http://www.lamidandamun.gov.np/,rawabesigaupalika@gmail.com,97.42,13369,6178,7191,2793,86.70889,27.271369,
51,1,KHOTANG,खोटाङ,Sakela Gaunpalika,साकेला गाउँपालिका,Gaunpalika,5,Manebhanjyang,मानेभञ्ज्याङ्,Mattim Birta,10,http://www.sakelamun.gov.np/,ito.sakelarmun@gmail.com,79.99,11594,5463,6131,2408,86.82696,27.160254,
52,1,MORANG,मोरङ,Belbari Municipality,बेलबारी नगरपालिका,Nagarpalika,11,Belbari,बेल्बारी,Belbari,1,http://www.belbarimun.gov.np/,,133,65892,30111,35781,15338,87.42052,26.65786,
53,1,MORANG,मोरङ,Biratnagar Metropolitian City,बिराटनगर महानगरपालिका,Mahanagarpalika,19,Biratnagar,बिराटनगर,Biratnagar,2,http://www.biratnagarmun.gov.np/,,77,214663,108827,105836,47798,87.2823671,26.4653491,
54,1,MORANG,मोरङ,Budhiganga Gaunpalika,बुढीगंगा गाउँपालिका,Gaunpalika,7,Hathaimudha,हथैमुधा,Hattimuda,3,http://budhigangamunmorang.gov.np/,,56.41,41586,20717,20869,9621,87.3025132,26.5668167,
55,1,MORANG,मोरङ,Dhanapalthan Gaunpalika,धनपालथान गाउँपालिका,Gaunpalika,7,Sorabhag,सोराभाग,Sorabhag,4,http://www.dhanapalthanmun.gov.np/,dhanapalthanmun@gmail.com,70.26,40426,19978,20448,7957,87.414634,26.469471,
56,1,MORANG,मोरङ,Gramthan Gaunpalika,ग्रामथान गाउँपालिका,Gaunpalika,7,Tetariya,ट्तेतरिय,Tetariya,5,http://www.gramthanmun.gov.np/,,71.84,32008,15314,16694,7920,87.3504692,26.563333,
57,1,MORANG,मोरङ,Jahada Gaunpalika,जहदा गाउँपालिका,Gaunpalika,7,Majhare,मझारे,Majhare,6,http://www.jahadamun.gov.np/,,62.38,41819,21118,20701,8175,87.33519,26.4257,
58,1,MORANG,मोरङ,Kanepokhari Gaunpalika,कानेपोखरी गाउँपालिका,Gaunpalika,7,Bayarban,बयारबन्,Bayarban,7,http://www.kanepokharimun.gov.np/,kanepokharirmun@gmail.com,82.3,38033,17487,20546,8683,87.50079,26.617564,
59,1,MORANG,मोरङ,Katahari Gaunpalika,कटहरी गाउँपालिका,Gaunpalika,7,Katahari,कतहरि,Katahari,8,http://www.kataharimun.gov.np/,ito.kataharimun@gmail.com,51.59,39452,20051,19401,8009,87.31229,26.46055,
60,1,MORANG,मोरङ,Kerabari Gaunpalika,केराबारी गाउँपालिका,Gaunpalika,10,Kerabari,केराबारी,Kerabari,9,http://www.kerabarimun.gov.np/,kerabariruralmun@gmail.com,220,30431,13811,16620,6991,87.40394,26.76276,
61,1,MORANG,मोरङ,Letang Bazar,लेटाङ नगरपालिका,Nagarpalika,9,Letang Bhogetani,लेतङ भोगेतनि,Letang Bhogateni,10,http://www.letangmun.gov.np/,,219,32053,14350,17703,7339,87.5002,26.73495,
62,1,MORANG,मोरङ,Miklajung Gaunpalika,मिक्लाजुङ्ग गाउँपालिका,Gaunpalika,9,Madhumalla,मधुमल्ल,Madhumalla,11,http://www.miklajungmunmorang.gov.np/,miklajungrmun@gmail.com,159,30070,13787,16283,6417,87.69007,26.932758,
63,1,MORANG,मोरङ,Pathari Shanishchare Municipality,पथरी शनिश्चरे नगरपालिका,Nagarpalika,10,Pathari Shanishchare,पठारी सनिश्चारएय्,Pathari,12,http://www.patharishanishcharemun.gov.np/,,79.61,61132,27756,33376,13956,87.558965,26.659833,
64,1,MORANG,मोरङ,Rangeli Municipality,रंगेली नगरपालिका,Nagarpalika,9,Rangeli,रङ्गेलि,Rangeli,13,http://www.rangelimun.gov.np/,,112,52013,25081,26932,11249,87.487089,26.461816,
65,1,MORANG,मोरङ,Ratuwamai Municipality,रतुवामाई नगरपालिका,Nagarpalika,10,Sijuwa,सिजुवा,Sijuwa,14,http://www.ratuwamaimun.gov.np/,,142,55380,26335,29045,12482,87.63694,26.4925,
66,1,MORANG,मोरङ,Sundarharaicha Municipality,सुन्दरहरैंचा नगरपालिका,Nagarpalika,12,koshi harauchaa,कोशी हरौचा,Indrapur,15,http://www.sundarharaichamun.gov.np/,,110,80518,37694,42824,18610,87.3464195,26.6600984,
67,1,MORANG,मोरङ,Sunwarshi Municipality,सुनवर्षी नगरपालिका,Nagarpalika,9,Dainiya,डैनिय,Dainiya,16,http://www.sunawarshimun.gov.np/,,106,50758,24957,25801,10795,87.54856,26.453,
68,1,MORANG,मोरङ,Urlabari Municipality,उर्लाबारी नगरपालिका,Nagarpalika,9,Urlabari,उर्लाबारी,Urlabari,17,http://www.urlabarimun.gov.np/,,74.62,54696,25148,29548,12530,87.6244013,26.6641041,
69,1,OKHALDHUNGA,ओखलढुङ्गा,Champadevi Gaunpalika,चम्पादेवी गाउँपालिका,Gaunpalika,10,Kalika,कालिका,Kalikadevi,1,http://www.champadevimun.gov.np/,Champadevirm@gmail.com,127,18613,8521,10092,3796,86.30568,27.29783,
70,1,OKHALDHUNGA,ओखलढुङ्गा,Chishankhu Gadhi Gaunpalika,चिशंखुगढी गाउँपालिका,Gaunpalika,8,Serna,सेर्ना,Serna,2,http://www.chishankhugadhimun.gov.np/,ito.chishankhugadhimun@gmail.com,112,15196,6968,8228,3334,86.61849,27.317837,
71,1,OKHALDHUNGA,ओखलढुङ्गा,Khiji Demba Gaunpalika,खिजीदेम्बा गाउँपालिका,Gaunpalika,9,khijiphalate,खिजिफलते,Khijiphalate,3,http://www.khijidembamun.gov.np/,"ito.khijeedembamun@gmail.com / 
 khijeedembarm2073@gmail.com",180,15106,7273,7833,3111,86.33857,27.433491,
72,1,OKHALDHUNGA,ओखलढुङ्गा,Likhu Gaunpalika,लिखु गाउँपालिका,Gaunpalika,9,Yasam,यसामा,Yasam,4,http://likhumunokhaldhunga.gov.np/,,88.03,14049,6522,7527,2957,86.24067,27.377722,
73,1,OKHALDHUNGA,ओखलढुङ्गा,Manebhanjyang Gaunpalika,मानेभन्ज्याङ्ग गाउँपालिका,Gaunpalika,9,Manebhanjyang,मानेभञ्ज्याङ्,Manebhanjyang,5,http://www.madimunsankhuwasabha.gov.np/,,147,21074,9598,11476,4618,86.46307,27.213076,
74,1,OKHALDHUNGA,ओखलढुङ्गा,Molung Gaunpalika,मोलुङ्ग गाउँपालिका,Gaunpalika,8,Prapcha,प्रप्चा,Prapcha,6,http://www.molungmun.gov.np/,molungrm@gmail.com,112,16241,7529,8712,3669,86.42418,27.364171,
75,1,OKHALDHUNGA,ओखलढुङ्गा,Siddhicharan Municipality,सिद्धिचरण नगरपालिका,Nagarpalika,12,Siddhicharan,सिद्धिचरान्,Okhaldhunga,7,http://www.siddhicharanmun.gov.np/,,168,27995,12625,15370,6994,86.50224,27.319501,
76,1,OKHALDHUNGA,ओखलढुङ्गा,Sunkoshi Gaunpalika,सुनकोशी गाउँपालिका,Gaunpalika,10,Mulkarka,मुल्कर्क,Mulkharka,8,http://www.sunkoshimunokhaldhunga.gov.np/,sunkoshee@gmail.com,144,18550,8541,10009,3987,86.38331,27.28537,
77,1,PANCHTHAR,पाँचथर,Falelung Gaunpalika,फालेलुङ्ग गाउँपालिका,Gaunpalika,8,maymayng,maymayng,Phaktep,1,http://www.phalelungmun.gov.np/,phalelunggaunpalika@gmail.com,207,21884,10320,11564,4552,87.92357,27.19434,
78,1,PANCHTHAR,पाँचथर,Hilihan Gaunpalika,हिलिहाङ्ग गाउँपालिका,Gaunpalika,7,Panchami,Panchami,Panchami,3,http://www.hilihangmun.gov.np/,hilihangruralmun@gmail.com,123,22913,10646,12267,4792,87.7527,27.26526,
79,1,PANCHTHAR,पाँचथर,Kummayak Gaunpalika,कुम्मायक गाउँपालिका,Gaunpalika,5,Yasok,Yasok,Yasok,4,http://www.kummayakmun.gov.np/,kummayakgaupalika@gmail.com,129,16118,7401,8717,3500,87.64654,27.06807,
80,1,PANCHTHAR,पाँचथर,Miklajung Gaunpalika,मिक्लाजुङ गाउँपालिका,Gaunpalika,8,Rabi,Rawi,Rabi,5,http://www.miklajungmunpanchthar.gov.np/,miklajungrm2073@gmail.com,167,24615,11302,13313,5550,87.6612,26.72851,
81,1,PANCHTHAR,पाँचथर,Phalgunanda Gaunpalika,फाल्गुनन्द गाउँपालिका,Gaunpalika,7,Phaktap,Phaktaap,Phidim,2,http://www.phalgunandamun.gov.np/,falgunanda.rm@gmail.com,108,24060,11108,12952,5162,87.73555,27.01386,
82,1,PANCHTHAR,पाँचथर,Phidim Municipality,फिदिम नगरपालिका,Nagarpalika,14,Phidim,Phidim,Mauwa,6,http://www.phidimmun.gov.np/,,192,49201,23167,26034,10994,87.76611,27.145827,
83,1,PANCHTHAR,पाँचथर,Tumbewa Gaunpalika,तुम्बेवा गाउँपालिका,Gaunpalika,5,Mauwa,Mauwaa,Tharpu,7,http://www.tumwewamun.gov.np/,,117,13419,6265,7154,2815,87.54461,26.99988,
84,1,PANCHTHAR,पाँचथर,Yangbarak Gaunpalika,याङवरक गाउँपालिका,Gaunpalika,6,"Medibung,Tharpu","Medibung,Thaarpu",Hatiya,8,http://www.yangwarakmunpanchthar.gov.np/,yangwarakruralmun@gmail.com,208,18281,8701,9580,3811,87.83923,27.27293,
85,1,SANKHUWASABHA,संखुवासभा,Bhotkhola Gaunpalika,भोटखोला गाउँपालिका,Gaunpalika,5,Hatiya,हातीय,Chainpur,1,http://www.bhotkholamun.gov.np/,,733,8468,4125,4343,1379,87.38006,27.71614,
86,1,SANKHUWASABHA,संखुवासभा,Chainapur Municipality,चैनपुर नगरपालिका,Nagarpalika,11,Chainapur,चाइन्न्नापुर्,Diding,2,http://www.chainpurmun.gov.np/,,224,27308,12670,14638,5938,87.3185,27.293089,
87,1,SANKHUWASABHA,संखुवासभा,Chichila Gaunpalika,चिचिला गाउँपालिका,Gaunpalika,5,Diding,डिदिङ्,Tamaphok,3,http://www.chichilamun.gov.np/,chichilagaunpalika@gmail.com,88.54,7065,3410,3655,1518,87.27535,27.470178,
88,1,SANKHUWASABHA,संखुवासभा,Dharmadevi Municipality,धर्मदेवी नगरपालिका,Nagarpalika,9,Tamaphok,टामाफोक्,Khandbari,4,http://www.dharmadevimun.gov.np/,,133,18235,8392,9843,3958,87.38053,27.213762,
89,1,SANKHUWASABHA,संखुवासभा,Khandabari Municipality,खाँदबारी नगरपालिका,Nagarpalika,11,khandabari,खानदबारी,Madi,5,http://www.khandbarimun.gov.np/,,123,31177,14710,16467,7446,87.20611,27.38629,
90,1,SANKHUWASABHA,संखुवासभा,Madi Municipality,मादी नगरपालिका,Nagarpalika,9,Madi,मदि,Numm,6,http://www.mansebungmun.gov.np/,,110,14470,6623,7847,3216,87.35446,27.260015,
91,1,SANKHUWASABHA,संखुवासभा,Makalu Gaunpalika,मकालु गाउँपालिका,Gaunpalika,6,Num,नम,Wana,7,http://www.makalumun.gov.np/,gaupalikamakalu@gmail.com,1190,14766,7392,7374,2922,87.28572,27.556522,
92,1,SANKHUWASABHA,संखुवासभा,Panchakhapan Municipality,पाँचखपन नगरपालिका,Nagarpalika,9,Bana,बन,Barahbise,8,http://www.panchkhapanmun.gov.np/,,148,17521,8143,9378,3634,87.30694,27.33752,
93,1,SANKHUWASABHA,संखुवासभा,Sabhapokhari Gaunpalika,सभापोखरी गाउँपालिका,Gaunpalika,6,Barbise,बार्बिसे,Barahbise,9,http://www.savapokharimun.gov.np/,savapokharimun@gmail.com,222,10492,5029,5463,2192,87.33301,27.441298,
94,1,SANKHUWASABHA,संखुवासभा,Silichong Gaunpalika,सिलीचोङ गाउँपालिका,Gaunpalika,5,Tamku,टम्कु,Tamku,10,http://www.silichongmun.gov.np/,silichongrm@gmail.com,502,12584,6124,6460,2412,87.17393,27.499202,
95,1,SOLUKHUMBU,सोलुखुम्बु,Dhudhakoshi Gaunpalika,थुलुङ दुधकोशी गाउँपालिका,Gaunpalika,7,Mukli,मुक्लि,Chaurikharka,2,http://www.thulungdudhkoshimun.gov.np,thulungdudhkoshirm@gmail.com,168,13414,6529,6885,4240,86.66347,27.429992,
96,1,SOLUKHUMBU,सोलुखुम्बु,Dhudhkausika Gaunpalika,माप्य दुधकोशी गाउँपालिका,Gaunpalika,9,Basa,बस,Chaulakharka,1,http://www.manebhanjyangmun.gov.np/,,145,19672,9431,10241,2803,86.69045,27.528354,
97,1,SOLUKHUMBU,सोलुखुम्बु,Khumbu Pasanglhamu Gaunpalika,खुम्बु पासाङल्हामु गाउँपालिका,Gaunpalika,5,Chaurikharka,चौरिखर्क,Bung,3,http://www.khumbupasanglhamumun.gov.np/,ito.khumbupasanglhamumun@gmail.com,1540,11854,5913,5941,2433,86.71739,27.696334,
98,1,SOLUKHUMBU,सोलुखुम्बु,Likhu Pike Gaunpalika,लिखु पिके गाउँपालिका,Gaunpalika,5,Chaulakharka,चौला खर्क,Basa,4,http://www.likhupikemun.gov.np/,,124,5534,2658,2876,1168,86.37956,27.558299,
99,1,SOLUKHUMBU,सोलुखुम्बु,Mahakulung Gaunpalika,माहाकुलुङ गाउँपालिका,Gaunpalika,5,Bung,बुङ्ग्,Necha Bhetghari,5,http://www.dudhkoshimun.gov.np/,dudhkoshirm@gmail.com,648,12709,6254,6455,2450,86.86716,27.526807,
100,1,SOLUKHUMBU,सोलुखुम्बु,Necha Salyan Gaunpalika,नेचासल्यान गाउँपालिका,Gaunpalika,6,Necha Betghari,नेछ बेत्घरि,Salleri,6,http://www.nechasalyanmun.gov.np/,,94.49,16129,7514,8615,3636,86.64043,27.354254,
101,1,SOLUKHUMBU,सोलुखुम्बु,Solu Dhudhakunda Municipality,सोलुदुधकुण्ड नगरपालिका,Nagarpalika,10,Dhudhakunda,ढुधकुन्द,Sotang Bazar,7,http://www.solududhkundamun.gov.np/,,538,20399,9627,10772,4980,86.58366,27.499247,
102,1,SOLUKHUMBU,सोलुखुम्बु,Sotang Gaunpalika,सोताङ गाउँपालिका,Gaunpalika,5,Sotang,सोतङ,Mukli,8,http://www.sotangmun.gov.np/,ito.sotangrmun@gmail.com,103,10031,4935,5096,2048,86.75298,27.479486,
